unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,frame_number,tracking_status,combined_validata,left_tracking_status,right_tracking_status,ipd_mm,messages
5.2598499062,1001209355648884300,True,0.9686164000,3.8806430000,-0.0338613000,0.0000000000,0.0000000000,-0.0152146400,0.0108743700,0.9998251000,True,0.9395335000,3.8927150000,0.0338613000,0.0000000000,0.0000000000,-0.0152147000,0.0108743700,0.9998251000,0.0000000000,0.0000000000,0.0000000000,-0.0152146800,0.0108743700,0.9998251000,2.0000000000,3451500,2,True,3,3,68.3500000000,RecordingStarted|SessionStart;participant=pilot_ys;session=checkerboard_pilot;seed=20260901;planned_trials=105;utc=2026-09-04T13:44:29.8423659Z;mapping=visual-space-l-tangent-normalized-cartesian-grid-v2|StimulusHidden;visual_space_l=1.400;fov_deg=90.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.176327;content_zoom=1.000;eye=BothEyes|StimulusChanged;visual_space_l=1.400;fov_deg=60.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.305407;content_zoom=1.000;eye=BothEyes|StimulusChanged;visual_space_l=1.400;fov_deg=60.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.305407;content_zoom=1.000;eye=BothEyes|StimulusChanged;visual_space_l=1.200;fov_deg=60.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.305407;content_zoom=1.000;eye=BothEyes|StimulusChanged;visual_space_l=1.200;fov_deg=60.00;edge_softness_deg=3.23;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.305407;content_zoom=1.000;eye=BothEyes|FixationAcquisitionStart;sequence=1;attempt=1
5.2601507062,1001209355653899100,True,0.9684289000,3.8840750000,-0.0338613000,0.0000000000,0.0000000000,-0.0151416600,0.0109889100,0.9998250000,True,0.9395381000,3.8939320000,0.0338613000,0.0000000000,0.0000000000,-0.0151417200,0.0109889100,0.9998249000,0.0000000000,0.0000000000,0.0000000000,-0.0151416900,0.0109889100,0.9998250000,2.0000000000,3451501,2,True,3,3,68.3500000000,
5.2601526062,1001209355658904800,True,0.9682668000,3.8869380000,-0.0338613000,0.0000000000,0.0000000000,-0.0150735800,0.0111055600,0.9998247000,True,0.9395401000,3.8953550000,0.0338613000,0.0000000000,0.0000000000,-0.0150736300,0.0111055600,0.9998247000,0.0000000000,0.0000000000,0.0000000000,-0.0150736000,0.0111055600,0.9998247000,2.0000000000,3451502,2,True,3,3,68.3500000000,
5.2601536062,1001209355663928600,True,0.9681084000,3.8893380000,-0.0338613000,0.0000000000,0.0000000000,-0.0150104300,0.0112057300,0.9998245000,True,0.9395387000,3.8975180000,0.0338613000,0.0000000000,0.0000000000,-0.0150104800,0.0112057300,0.9998245000,0.0000000000,0.0000000000,0.0000000000,-0.0150104600,0.0112057300,0.9998245000,2.0000000000,3451503,2,True,3,3,68.3500000000,
5.2705236062,1001209355668957600,True,0.9679337000,3.8918420000,-0.0338613000,0.0000000000,0.0000000000,-0.0149466000,0.0113096400,0.9998243000,True,0.9395366000,3.8993280000,0.0338613000,0.0000000000,0.0000000000,-0.0149466500,0.0113096400,0.9998243000,0.0000000000,0.0000000000,0.0000000000,-0.0149466300,0.0113096400,0.9998243000,2.0000000000,3451504,2,True,3,3,68.3500000000,
5.2705297062,1001209355674001000,True,0.9677200000,3.8946830000,-0.0338613000,0.0000000000,0.0000000000,-0.0148895000,0.0114004700,0.9998242000,True,0.9395324000,3.9005760000,0.0338613000,0.0000000000,0.0000000000,-0.0148895500,0.0114004700,0.9998242000,0.0000000000,0.0000000000,0.0000000000,-0.0148895300,0.0114004700,0.9998242000,2.0000000000,3451505,2,True,3,3,68.3500000000,
5.2819277062,1001209355679009400,True,0.9674313000,3.8985300000,-0.0338613000,0.0000000000,0.0000000000,-0.0148439300,0.0114933300,0.9998237000,True,0.9395278000,3.9016060000,0.0338613000,0.0000000000,0.0000000000,-0.0148439800,0.0114933300,0.9998237000,0.0000000000,0.0000000000,0.0000000000,-0.0148439600,0.0114933300,0.9998237000,2.0000000000,3451506,2,True,3,3,68.3500000000,
5.2819339062,1001209355684017800,True,0.9671784000,3.9021920000,-0.0338613000,0.0000000000,0.0000000000,-0.0148065800,0.0115964400,0.9998232000,True,0.9395219000,3.9024080000,0.0338613000,0.0000000000,0.0000000000,-0.0148066300,0.0115964400,0.9998232000,0.0000000000,0.0000000000,0.0000000000,-0.0148066000,0.0115964400,0.9998232000,2.0000000000,3451507,2,True,3,3,68.3500000000,
5.2819349062,1001209355689026200,True,0.9669613000,3.9055870000,-0.0338613000,0.0000000000,0.0000000000,-0.0147782500,0.0117027100,0.9998223000,True,0.9395171000,3.9031600000,0.0338613000,0.0000000000,0.0000000000,-0.0147782900,0.0117027100,0.9998223000,0.0000000000,0.0000000000,0.0000000000,-0.0147782700,0.0117027100,0.9998223000,2.0000000000,3451508,2,True,3,3,68.3500000000,
5.2934021062,1001209355694034600,True,0.9667494000,3.9090740000,-0.0338613000,0.0000000000,0.0000000000,-0.0147381300,0.0118081200,0.9998217000,True,0.9395109000,3.9040700000,0.0338613000,0.0000000000,0.0000000000,-0.0147381700,0.0118081200,0.9998217000,0.0000000000,0.0000000000,0.0000000000,-0.0147381500,0.0118081200,0.9998217000,2.0000000000,3451509,2,True,3,3,68.3500000000,
